accession,lat_parsed,lon_parsed,depth_parsed,depth2_parsed,is_transcriptome
ERR3415775,54.19,7.9,1.0,1.0,0
ERR3415777,54.19,7.9,1.0,1.0,0
ERR3415778,54.19,7.9,1.0,1.0,0
ERR3415779,54.19,7.9,1.0,1.0,0
ERR3415780,54.19,7.9,1.0,1.0,0
ERR3415781,54.19,7.9,1.0,1.0,0
ERR3415783,54.19,7.9,1.0,1.0,0
ERR3415784,54.19,7.9,1.0,1.0,0
ERR3415785,54.19,7.9,1.0,1.0,0
ERR3415786,54.19,7.9,1.0,1.0,0
ERR3415787,54.19,7.9,1.0,1.0,0
ERR3415788,54.19,7.9,1.0,1.0,0
ERR3415789,54.19,7.9,1.0,1.0,0
ERR3415790,54.19,7.9,1.0,1.0,0
ERR3415791,54.19,7.9,1.0,1.0,0
ERR3438393,33.483167,-118.507833,5.0,5.0,0
ERR3484103,48.35891667,4.552055556,,,1
ERR3484104,48.35891667,4.552055556,,,1
ERR3484105,48.35891667,4.552055556,,,1
ERR3484106,48.35891667,4.552055556,,,1
ERR3484107,48.35891667,4.552055556,,,1
ERR3484108,48.35891667,4.552055556,,,1
ERR3484109,48.35891667,4.552055556,,,1
ERR3484110,48.35891667,4.552055556,,,1
ERR3484111,48.35891667,4.552055556,,,1
ERR3484112,48.35891667,4.552055556,,,1
ERR3484113,48.35891667,4.552055556,,,1
ERR3484114,48.35891667,4.552055556,,,1
ERR3484115,48.35891667,4.552055556,,,1
ERR3484116,48.35891667,4.552055556,,,1
ERR3484117,48.35891667,4.552055556,,,1
ERR3484118,48.35891667,4.552055556,,,1
ERR3484119,48.35891667,4.552055556,,,1
ERR3484120,48.35891667,4.552055556,,,1
ERR3484121,48.35891667,4.552055556,,,1
ERR3484122,48.35891667,4.552055556,,,1
ERR3484123,48.35891667,4.552055556,,,0
ERR3484124,48.35891667,4.552055556,,,0
ERR3484125,48.35891667,4.552055556,,,0
ERR3484126,48.35891667,4.552055556,,,0
ERR3484127,48.35891667,4.552055556,,,0
ERR3484128,48.35891667,4.552055556,,,0
ERR3484129,48.35891667,4.552055556,,,0
ERR3484130,48.35891667,4.552055556,,,0
ERR3484131,48.35891667,4.552055556,,,0
ERR3484132,48.35891667,4.552055556,,,0
ERR3484133,48.35891667,4.552055556,,,0
ERR3484134,48.35891667,4.552055556,,,0
ERR3484135,48.35891667,4.552055556,,,0
ERR3484136,48.35891667,4.552055556,,,0
ERR3484137,48.35891667,4.552055556,,,0
ERR3484138,48.35891667,4.552055556,,,0
ERR3484139,48.35891667,4.552055556,,,0
ERR3484140,48.35891667,4.552055556,,,0
ERR3484141,48.35891667,4.552055556,,,0
ERR3484142,48.35891667,4.552055556,,,0
ERR3484143,48.35891667,4.552055556,,,0
ERR3484144,48.35891667,4.552055556,,,0
ERR3484145,48.35891667,4.552055556,,,0
ERR3484146,48.35891667,4.552055556,,,0
ERR3484147,48.35891667,4.552055556,,,0
ERR3511208,36.688,-122.386,20.0,20.0,0
ERR3511209,36.688,-122.386,20.0,20.0,0
ERR3511210,36.688,-122.386,20.0,20.0,0
ERR3525229,47.0438,-8.0905,20.0,20.0,0
ERR3525231,35.2387,-12.8973,20.0,20.0,0
ERR3525232,33.3978,-13.5343,20.0,20.0,0
ERR3525233,20.7047,-21.17,20.0,20.0,0
ERR3525234,16.9043,-21.5685,20.0,20.0,0
ERR3525235,12.5898,-22.1955,20.0,20.0,0
ERR3525236,-1.4865,-25.318,20.0,20.0,0
ERR3525237,-8.2113,-27.9913,20.0,20.0,0
ERR3525238,-11.8977,-29.7515,20.0,20.0,0
ERR3525239,-15.5217,-31.8615,20.0,20.0,0
ERR3525240,-18.6635,-33.7253,20.0,20.0,0
ERR3525241,-21.2293,-35.402,20.0,20.0,0
ERR3525242,-34.2385,-42.965,20.0,20.0,0
ERR3525243,-39.7982,-50.577,20.0,20.0,0
ERR3525244,-47.9412,-61.9227,20.0,20.0,0
ERR3525245,-51.0537,-66.4593,20.0,20.0,0
ERR3525246,-56.169722,-62.633333,20.0,20.0,0
ERR3525247,-57.983333,-59.866667,20.0,20.0,0
ERR3525248,-60.5,-55.5,20.0,20.0,0
ERR3525249,-61.24361,-57.07361,20.0,20.0,0
ERR3525250,-61.716667,-55.166667,20.0,20.0,0
ERR3562601,-9.1504,-140.5216,5.0,5.0,1
ERR3586677,70.9433,-53.5127,411.0,411.0,1
ERR3586678,69.1136,-51.5086,5.0,5.0,1
ERR3586679,77.9028,117.1545,5.0,5.0,1
ERR3586680,77.9668,116.6556,20.0,20.0,1
ERR3586681,78.0391,116.4105,299.0,299.0,1
ERR3586682,71.5955,160.9383,5.0,5.0,1
ERR3586684,73.3833,-168.1333,5.0,5.0,1
ERR3586686,74.3386,-85.6208,36.0,36.0,1
ERR3586687,72.4693,-71.892,5.0,5.0,1
ERR3586688,70.9574,-53.5989,5.0,5.0,1
ERR3586689,64.7127,-53.0106,5.0,5.0,1
ERR3586690,64.7,-52.996,351.0,351.0,1
ERR3586691,61.5427,-55.9869,5.0,5.0,1
ERR3586692,61.5754,-55.9846,391.0,391.0,1
